Codigo Puesto,Nombre del Puesto o Area Medida,Luxes Mínimos
123,"19.3 Trabajos de encuadernación estándar, por ejemplo, plegado, clasificación, pegado, corte, estampado, costura",500
124,20.1 Planta de suministro de combustible,50
125,20.2 Sala de calderas,100
126,20.3 Salas de máquinas,200
127,"20.4 Salas laterales, por ejemplo, cuartos de bombas, cuartos de condensadores, etc.; tableros de distribución (dentro de los edificios)",200
128,20.5 Salas de control,500
129,"21.1 Corte, estampado, realce, grabado en bloque, trabajos sobre piedras y platinas, máquinas de impresión, fabricación de matrices",500
130,21.2 Clasificación de papel e impresión a mano,500
131,"21.3 Ajuste de tipos, retoques, litografía",1000
132,21.4 Inspección de color en impresión multicolor,1500
133,21.5 Acero y cobre grabado,2000
134,22.1 Plantas de producción sin operación manual,50
135,22.2 Plantas de producción con operación manual ocasional,150
136,22.3 Plantas de producción con operación manual continua,200
137,22.4 Tienda de losas,50
138,22.5 Hornos,200
139,22.6 Tren del molino; enrollado; línea de corte,300
140,22.7 Plataformas de control; paneles de control,300
141,"22.8 Ensayo, medición e inspección",500
142,"22.9 Túneles subterráneos; secciones de cinta, bodegas, etc.",50
143,"23.1 Puestos de trabajo y zonas en baños, apertura de fardos",200
144,"23.2 Cardado de textil, lavado, planchado, trabajo en máquina dentada, dibujo, peinado, dimensionamiento, corte de tarjetas, pre-hilado, hilado de yute y cáñamo",300
145,23.3 Zonas de hilado o bobinado en carretes,500
146,"23.4 Deformado, costura, trenzado, tejido de punto",500
147,"23.5 Cosido, tejido fino, tomada de puntadas",750
148,"23.6 Diseño manual, patrones de dibujo",750
149,"23.7 Acabado, teñido",500
150,23.8 Sala de secado,100
151,23.9 Impresión automática de telas,500
152,"23.10 Terminado (remoción de motas, nudos, hilos), recolección o selección y recorte",1000
153,23.11 Inspección del color; control de tejido,1000
154,23.12 Reparación invisible,1500
155,23.13 Fabricación de sombreros,500
156,24.1 Taller de prensa - piezas grandes,300
157,24.2 Taller de prensa - inspección visual,500
158,24.3 Trabajo de carrocería y montaje - línea automática,300
159,24.4 Trabajo de carrocería y montaje - soldadura manual,500
160,"24.5 Pintura, cámara de pulverización, cámara de pulido",750
161,"24.6 Pintura, inspección, retoque y pulido",1000
162,24.7 Fabricación de tapicería (manual),1000
163,"24.8 Detallado:
- Montaje de subpartes (puertas, salpicadero, tapicería)
- Montaje bajo chasis
- Montaje mecánico
- Línea transportadora de montaje final",750
164,"24.9 Detallado:
- trabajo con electrónica",750
165,24.10 Inspección final,1000
166,"24.11 Servicios generales de vehículos, reparación y ensayos",500
167,"25.1 Procesamiento automático, por ejemplo, secado, fabricación de madera contrachapada",50
168,25.2 Pozos de vapor,150
169,25.3 Marco de sierra,300
170,"25.4 Trabajo en banco de carpintería, encolado, montaje",300
171,"25.5 Pulido, pintura, carpintería de lujo",750
172,"25.6 Trabajos en máquinas para trabajar la madera, por ejemplo, torneado, estriado, revestimiento, rebatido,  ranurado, corte, aserrado, hundimiento",500
173,25.7 Selección de maderas de chapa,750
174,"25.8 Marquetería, trabajo de incrustación",750
175,"25.9 Control de calidad, inspección",1000
176,"26.1 Área de copiado, impresión, etc.",300
177,"26.2 Escritura, mecanografía, lectura, procesamiento de datos",500
178,26.3 Dibujo técnico,750
179,26.4 Estaciones de trabajo CAD,500
180,26.5.1 Salas de conferencias y reuniones,500
181,26.5.2 Mesa de conferencias,500
182,26.6 Recepción,300
183,26.7 Área de archivo,200
184,27.1 Área general de ventas,300
185,27.2 Área de la caja registradora,500
186,27.3 Área/mesa de empacado,500
187,27.4 Área de almacenamiento,300
188,27.5 Vestuario/probado r (vestidor),300
189,28.1 Pasillos de entrada,100
190,28.2 Guardarropa,200
191,28.3 Salones,200
192,28.4 Taquillas,300
193,"29.1 Mostrador de recepción / cajero, escritorio de porteros",300
194,29.2 Cocina,500
195,29.4 Restaurante de autoservicio,200
196,29.5 Buffet,300
197,29.6 Salas de conferencias,500
198,29.7 Pasillos,100
199,30.1 Salas de práctica/ensayo,300
200,30.2 Vestieres,300
201,"30.3 Zonas de estar mantenimiento, limpieza",200
202,30.4 Zona de suspensión de equipos en el área del escenario,300
203,31.1 Iluminación general,300
204,33.1 Estanterías,200
205,33.2 Área de lectura,500
206,33.3 Área de bibliotecarios,500
207,33.4 Iluminación general,300
208,34.1 Rampas de entrada/salida (durante las horas del día),300
209,34.2 Rampas de entrada/salida (por la noche),75
210,"34.3 Carriles de circulación de vehículos, rampas internas y sendas peatonales adyacentes a los carriles de circulación vehicular",75
211,34.4 Áreas de estacionamiento no abiertas al público,75
212,"34.5 Áreas de estacionamiento: abiertas al público con un gran número de usuarios, por ejemplo, centros comerciales, plazas.",150
213,34.6 Taquilla,300
214,35.1 Sala de juegos,300
215,35.2 Guarderías,300
216,35.3 Sala de manualidades,300
217,"36.1 Aula o salón de clases, salas de lectura -
Actividades generales",500
218,"36.2 Auditorio, salas de conferencias",500
219,36.3 Áreas para sentarse en auditorios y salas de conferencias,200
220,"36.4 Tableros negros, verdes y blancos",500
